run_accession	A	B	A_equals_B
ERR188039	H1e1a	H1e1a	True
ERR188043	U5b1b1a	U5b1b1a	True
ERR188044	L1b1a3b	L1b1a3b	True
ERR188045	U4a2	U4a2	True
ERR188047	U5b2a1a1	U5b2a1a1	True
ERR188055	L3e3b	L3e3b	True
ERR188061	U5b1e*	U5b1e*	True
ERR188065	H24a	H24a	True
ERR188096	L1b1a15	L1b1a15	True
ERR188097	L2a1f	L2a1f	True
ERR188099	U5a2c3a	U5a2c3a	True
ERR188122	T1a6	T1a6	True
ERR188158	L3e2b1a2	L3e2b1a2	True
ERR188214	L1b1a	L1b1a	True
ERR188225	L2a1b2	L2a1b2	True
ERR188292	L2a1f	L2a1f	True
ERR188300	H6a1a3	H6a1a3	True
ERR188311	L3e2b8	L3e2b8	True
ERR188322	L1b1a15	L1b1a15	True
ERR188325	U5a1a1	U5a1a1	True
ERR188331	H8c	H8c	True
ERR188351	I1a1b	I1a1b	True
ERR188375	L3b3	L3b3	True
ERR188394	K1a1b1	K1a1b1	True
ERR188409	L1b1a3	L1b1a3	True
ERR188414	T1	T1	True
ERR188451	L2a1c5	L2a1c5	True
ERR188454	L1b1a3	L1b1a3	True
ERR188460	L3d2b*2	L3d2b*2	True
ERR204823	U4a2	U4a2	True
SRR27179070	L3e1b2	L3e1b2	True
SRR27179075	H6a1b2	H6a1b2	True
SRR27179078	H5a1+152*	H5a1+152*	True
SRR27179084	H5a1i	H5a1i	True
SRR27179086	T2c1f	T2c1f	True
SRR27179090	H17b	H17b	True
SRR27179092	K1a1b1e	K1a1b1e	True
SRR27179097	H17a2	H17a2	True
SRR27179099	X2b10	X2b10	True
SRR27179111	H1c2	H1c2	True
SRR27179118	G2a3a	G2a3a	True
SRR27179124	H2a2a1	H2a2a1	True
SRR27179128	U3a1c	U3a1c	True
SRR27179135	U4c1	U4c1	True
SRR27179144	H10e1	H10e1	True
SRR27179146	H1c3	H1c3	True
SRR27179148	U5a1f1a1	U5a1f1a1	True
SRR27179168	U4c2a	U4c2a	True
SRR27179170	H2a2a2	H2a2a2	True
SRR27179193	H+16129	H+16129	True
SRR27179196	T1a1	T1a1	True
SRR27179199	H2a1	H2a1	True
SRR27179201	K1a4g	K1a4g	True
SRR27179207	H1bw	H1bw	True
SRR27179220	J1c2	J1c2	True
SRR27179223	U5a1b+16362	U5a1b+16362	True
SRR27179229	U4c1	U4c1	True
SRR27179235	A2	A2	True
SRR27179238	W1	W1	True
SRR27179251	H13a1a1	H13a1a1	True
